MARCH_7th0003.wav|First Meeting|First Meeting
MARCH_7th0005.wav|Greeting|Greeting
MARCH_7th0007.wav|Parting|Parting
MARCH_7th0009.wav|About Self: Name|About Self: Name
MARCH_7th0011.wav|About Self: Past|About Self: Past
MARCH_7th0013.wav|Chat: Juice|Chat: Juice
MARCH_7th0015.wav|Chat: Photos|Chat: Photos
MARCH_7th0017.wav|Hobbies|Hobbies
MARCH_7th0019.wav|Annoyances|Annoyances
MARCH_7th0021.wav|Something to Share|Something to Share
MARCH_7th0023.wav|Sharing: Sword Training March to Mastery: A Star Is Born|Sharing: Sword Training March to Mastery: A Star Is Born
MARCH_7th0025.wav|Knowledge|Knowledge
MARCH_7th0027.wav|About Dan Heng|About Dan Heng
MARCH_7th0029.wav|About Dan Heng 2|About Dan Heng 2
MARCH_7th0031.wav|About Himeko|About Himeko
MARCH_7th0033.wav|About Welt|About Welt
MARCH_7th0035.wav|About Pom-Pom|About Pom-Pom
MARCH_7th0037.wav|About Yanqing March to Mastery: A Star Is Born|About Yanqing March to Mastery: A Star Is Born
MARCH_7th0039.wav|About Yunli March to Mastery: A Star Is Born|About Yunli March to Mastery: A Star Is Born
MARCH_7th0041.wav|About Sunday A New Venture on the Eighth Dawn|About Sunday A New Venture on the Eighth Dawn
MARCH_7th0043.wav|Presevation Eidolon Activation|Presevation Eidolon Activation
MARCH_7th0045.wav|"""The Hunt"" Eidolon Activation"|"""The Hunt"" Eidolon Activation"
MARCH_7th0047.wav|Character Ascension|Character Ascension
MARCH_7th0049.wav|Max Level Reached|Max Level Reached
MARCH_7th0051.wav|Preservation Trace Activation|Preservation Trace Activation
MARCH_7th0053.wav|"""The Hunt"" Trace Activation"|"""The Hunt"" Trace Activation"
MARCH_7th0055.wav|Added to Team With (Trailblazer)|Added to Team With (Trailblazer)
MARCH_7th0057.wav|Added to Team With Dan Heng|Added to Team With Dan Heng
MARCH_7th0059.wav|Added to Team With Dan Heng • Imbibitor Lunae|Added to Team With Dan Heng • Imbibitor Lunae
MARCH_7th0061.wav|Added to Team With Himeko|Added to Team With Himeko
MARCH_7th0063.wav|Added to Team With Welt|Added to Team With Welt
MARCH_7th0065.wav|Added to Team With Yunli|Added to Team With Yunli
MARCH_7th0067.wav|Added to Team With Yanqing|Added to Team With Yanqing
MARCH_7th0069.wav|Added to Team With Sunday|Added to Team With Sunday
MARCH_7th0072.wav|Battle Begins: Weakness Break|Battle Begins: Weakness Break
MARCH_7th0074.wav|Battle Begins: Danger Alert|Battle Begins: Danger Alert
MARCH_7th0076.wav|Turn Begins|Turn Begins
MARCH_7th0077.wav|Turn Begins|Turn Begins
MARCH_7th0079.wav|Turn Idling|Turn Idling
MARCH_7th0081.wav|Basic ATK|Basic ATK
MARCH_7th0085.wav|Skill|Skill
MARCH_7th0086.wav|Skill|Skill
MARCH_7th0088.wav|Hit by Light Attack|Hit by Light Attack
MARCH_7th0090.wav|Hit by Heavy Attack|Hit by Heavy Attack
MARCH_7th0092.wav|Ultimate: Activate|Ultimate: Activate
MARCH_7th0094.wav|Ultimate: Unleash|Ultimate: Unleash
MARCH_7th0096.wav|Talent|Talent
MARCH_7th0097.wav|Talent|Talent
MARCH_7th0099.wav|Downed|Downed
MARCH_7th0101.wav|Return to Battle|Return to Battle
MARCH_7th0103.wav|Health Recovery|Health Recovery
MARCH_7th0105.wav|Technique|Technique
MARCH_7th0107.wav|Battle Won|Battle Won
MARCH_7th0109.wav|Treasure Opening|Treasure Opening
MARCH_7th0110.wav|Treasure Opening|Treasure Opening
MARCH_7th0112.wav|Precious Treasure Opening|Precious Treasure Opening
MARCH_7th0114.wav|Successful Puzzle-Solving|Successful Puzzle-Solving
MARCH_7th0115.wav|Successful Puzzle-Solving|Successful Puzzle-Solving
MARCH_7th0117.wav|Enemy Target Found|Enemy Target Found
MARCH_7th0119.wav|Returning to Town|Returning to Town
MARCH_7th0122.wav|Battle Begins: Weakness Break|Battle Begins: Weakness Break
MARCH_7th0124.wav|Battle Begins: Danger Alert|Battle Begins: Danger Alert
MARCH_7th0126.wav|Turn Begins|Turn Begins
MARCH_7th0127.wav|Turn Begins|Turn Begins
MARCH_7th0129.wav|Turn Idling|Turn Idling
MARCH_7th0131.wav|Basic ATK|Basic ATK
MARCH_7th0133.wav|Enhanced Basic ATK|Enhanced Basic ATK
MARCH_7th0134.wav|Enhanced Basic ATK|Enhanced Basic ATK
MARCH_7th0136.wav|Skill|Skill
MARCH_7th0137.wav|Skill|Skill
MARCH_7th0139.wav|Hit by Light Attack|Hit by Light Attack
MARCH_7th0141.wav|Hit by Heavy Attack|Hit by Heavy Attack
MARCH_7th0143.wav|Ultimate: Activate|Ultimate: Activate
MARCH_7th0145.wav|Ultimate: Unleash|Ultimate: Unleash
MARCH_7th0147.wav|Talent|Talent
MARCH_7th0148.wav|Talent|Talent
MARCH_7th0150.wav|Downed|Downed
MARCH_7th0152.wav|Return to Battle|Return to Battle
MARCH_7th0154.wav|Health Recovery|Health Recovery
MARCH_7th0156.wav|Technique|Technique
MARCH_7th0158.wav|Battle Won|Battle Won
MARCH_7th0160.wav|Treasure Opening|Treasure Opening
MARCH_7th0161.wav|Treasure Opening|Treasure Opening
MARCH_7th0163.wav|Precious Treasure Opening|Precious Treasure Opening
MARCH_7th0165.wav|Successful Puzzle-Solving|Successful Puzzle-Solving
MARCH_7th0166.wav|Successful Puzzle-Solving|Successful Puzzle-Solving
MARCH_7th0168.wav|Enemy Target Found|Enemy Target Found
MARCH_7th0170.wav|Returning to Town|Returning to Town
